Member_number,Date,itemDescription
3545,30-11-2015,frankfurter
3904,30-01-2015,citrus fruit
1893,11-01-2015,yogurt
3418,13-03-2015,yogurt
3694,10-02-2015,rolls/buns
2613,03-02-2015,soda
3141,16-11-2015,onions
4501,26-03-2015,butter milk
3424,01-05-2015,frankfurter
2564,12-05-2015,frozen dessert
2575,22-02-2015,citrus fruit
4507,15-08-2015,tropical fruit
1492,29-01-2015,hard cheese
1514,08-04-2015,whipped/sour cream
1732,29-05-2015,pork
3161,12-06-2015,onions
3094,06-10-2015,tropical fruit
1585,07-01-2015,other vegetables
1707,09-06-2015,sausage
2467,09-06-2015,chocolate
2143,12-02-2015,soda
2088,09-02-2015,yogurt
2814,08-01-2015,pip fruit
3940,09-03-2015,bottled water
4177,15-06-2015,bottled beer
4260,19-10-2015,frozen vegetables
2169,01-11-2015,detergent
1612,06-11-2015,bottled water
1464,03-06-2015,other vegetables
3870,21-02-2015,yogurt
3253,20-06-2015,sweet spreads
2784,13-11-2015,tropical fruit
2548,11-11-2015,whole milk
4064,10-02-2015,citrus fruit
2309,23-03-2015,citrus fruit
3104,13-05-2015,citrus fruit
2849,24-11-2015,pork
3461,26-06-2015,yogurt
1601,02-12-2015,beef
3701,15-04-2015,shopping bags
3955,23-11-2015,whipped/sour cream
4719,28-12-2015,other vegetables
1690,21-08-2015,sugar
1315,26-08-2015,packaged fruit/vegetables
3772,18-02-2015,tropical fruit
3797,16-09-2015,whole milk
3515,03-07-2015,canned beer
4163,13-03-2015,tropical fruit
1374,05-08-2015,chewing gum
2775,07-01-2015,tropical fruit
3937,25-04-2015,white wine
3166,14-03-2015,whole milk
1805,09-06-2015,canned beer
2624,21-05-2015,tropical fruit
4072,14-08-2015,chicken
1794,17-09-2015,sweet spreads
3673,27-08-2015,packaged fruit/vegetables
2696,02-09-2015,other vegetables
1991,09-12-2015,citrus fruit
2321,26-01-2015,whipped/sour cream
2636,19-05-2015,hamburger meat
4721,06-07-2015,bottled water
3051,09-02-2015,frozen meals
1705,20-07-2015,white bread
4714,30-08-2015,pastry
1327,08-06-2015,bottled beer
4719,26-09-2015,tropical fruit
3185,02-03-2015,sausage
3621,05-03-2015,soda
3308,17-07-2015,rolls/buns
1915,07-08-2015,UHT-milk
2753,08-09-2015,nuts/prunes
2792,24-10-2015,canned beer
1723,08-12-2015,tropical fruit
4398,08-11-2015,oil
4667,25-08-2015,rolls/buns
2691,05-02-2015,citrus fruit
1636,05-12-2015,berries
2681,02-05-2015,beef
3854,19-03-2015,citrus fruit
2571,17-07-2015,frankfurter
3789,12-10-2015,whole milk
4119,15-04-2015,beef
3099,18-07-2015,pip fruit
1213,07-02-2015,domestic eggs
2294,31-08-2015,root vegetables
2149,23-05-2015,softener
4019,28-08-2015,whole milk
4167,06-09-2015,frankfurter
2885,19-11-2015,chicken
4706,23-11-2015,sausage
3786,11-05-2015,curd
2019,18-02-2015,frankfurter
4675,31-10-2015,pip fruit
4042,30-04-2015,yogurt
2102,14-02-2015,rolls/buns
2240,01-12-2015,chicken
2151,16-07-2015,beef
3878,24-07-2015,citrus fruit
4235,25-09-2015,beef
4817,20-12-2015,rolls/buns
1992,28-08-2015,pastry
3407,25-03-2015,canned beer
3668,22-10-2015,whole milk
3500,21-07-2015,pip fruit
1874,15-06-2015,citrus fruit
1343,01-11-2015,other vegetables
3234,16-08-2015,citrus fruit
1430,27-10-2015,beef
3772,27-09-2015,meat
2981,10-03-2015,UHT-milk
1287,28-01-2015,frankfurter
1500,08-03-2015,sausage
2193,14-04-2015,bottled beer
1997,21-07-2015,soda
4546,03-09-2015,tropical fruit
4736,21-07-2015,other vegetables
1959,30-03-2015,hamburger meat
1974,03-05-2015,fish
2421,02-09-2015,frankfurter
1513,03-08-2015,yogurt
1905,07-07-2015,tropical fruit
2810,08-09-2015,meat
2867,12-11-2015,bottled water
3962,18-09-2015,hamburger meat
1088,30-11-2015,meat
4976,17-07-2015,frankfurter
4056,12-06-2015,chicken
3611,13-02-2015,chicken
1420,14-01-2015,salty snack
4286,08-03-2015,whole milk
4918,27-01-2015,rolls/buns
4783,22-10-2015,beef
3709,26-10-2015,citrus fruit
4289,08-10-2015,chicken
1559,03-10-2015,citrus fruit
2900,11-04-2015,bottled water
1905,21-02-2015,sausage
3527,29-09-2015,pip fruit
1495,09-01-2015,frankfurter
3558,03-04-2015,ham
3128,20-04-2015,butter
1863,04-08-2015,pork
3841,19-07-2015,pork
3903,06-10-2015,citrus fruit
2658,16-10-2015,canned beer
4272,06-06-2015,berries
1120,26-09-2015,condensed milk
2676,15-08-2015,chicken
1697,21-05-2015,rolls/buns
2507,25-08-2015,pork
4620,11-03-2015,whole milk
3365,01-02-2015,root vegetables
2978,05-06-2015,chicken
2910,28-07-2015,root vegetables
1061,05-09-2015,tropical fruit
3276,03-04-2015,root vegetables
1326,19-06-2015,chewing gum
3023,28-07-2015,root vegetables
2185,11-10-2015,chicken
3552,16-06-2015,canned beer
1967,20-01-2015,whole milk
4708,20-03-2015,citrus fruit
2874,15-02-2015,bottled beer
4177,13-04-2015,whole milk
1663,07-02-2015,onions
2632,02-03-2015,sausage
1377,14-03-2015,other vegetables
4162,22-12-2015,bottled beer
2270,01-07-2015,whole milk
4829,03-11-2015,yogurt
3811,14-04-2015,sausage
4766,29-09-2015,specialty chocolate
2436,12-04-2015,zwieback
3860,05-05-2015,frozen vegetables
4875,12-05-2015,frankfurter
1587,01-07-2015,whole milk
4038,08-07-2015,frankfurter
4750,21-09-2015,pork
1199,10-12-2015,canned vegetables
1603,30-09-2015,chicken
3111,31-01-2015,pip fruit
3894,13-12-2015,sausage
1456,18-09-2015,whole milk
2022,04-03-2015,pork
2505,30-11-2015,chicken
4851,20-12-2015,coffee
4293,04-08-2015,sausage
2775,06-11-2015,sausage
3693,18-02-2015,bottled beer
1202,22-07-2015,curd cheese
3699,23-08-2015,frankfurter
4152,15-04-2015,sausage
4155,26-01-2015,soda
4010,29-12-2015,rolls/buns
4389,20-10-2015,tropical fruit
3746,17-08-2015,butter
2560,17-05-2015,frankfurter
1503,25-07-2015,finished products
2555,23-12-2015,liver loaf
3645,12-12-2015,frankfurter
3886,11-09-2015,butter milk
2932,20-03-2015,whole milk
1711,18-06-2015,whole milk
4291,08-12-2015,root vegetables
1143,25-04-2015,whole milk
4564,08-07-2015,sausage
3337,14-05-2015,waffles
4931,04-05-2015,citrus fruit
2623,10-10-2015,whole milk
4581,03-04-2015,pork
2635,11-06-2015,berries
1095,30-10-2015,bottled water
2990,23-05-2015,chocolate
2426,05-06-2015,fruit/vegetable juice
4555,07-11-2015,whole milk
3635,04-09-2015,chocolate marshmallow
3058,18-05-2015,chicken
4391,26-03-2015,hygiene articles
1306,23-06-2015,pork
1024,10-08-2015,root vegetables
1295,23-07-2015,chicken
1661,01-06-2015,root vegetables
4591,15-05-2015,pip fruit
3169,14-06-2015,pip fruit
3915,21-05-2015,bottled beer
1127,14-01-2015,rolls/buns
4828,08-08-2015,whole milk
3683,10-06-2015,candy
1971,18-09-2015,curd
3014,11-11-2015,sausage
3779,15-09-2015,frankfurter
2489,04-05-2015,herbs
3564,27-06-2015,grapes
4092,30-09-2015,sausage
3221,13-01-2015,bottled beer
1279,06-09-2015,yogurt
2581,22-08-2015,canned beer
2295,25-02-2015,nuts/prunes
4760,22-02-2015,grapes
3649,16-01-2015,grapes
1075,19-11-2015,citrus fruit
3987,19-08-2015,whole milk
4106,25-08-2015,rolls/buns
4338,24-06-2015,rolls/buns
4166,06-11-2015,canned beer
1211,10-03-2015,butter
3954,21-01-2015,beef
3928,18-07-2015,soda
3827,30-09-2015,sausage
4699,08-02-2015,sausage
4747,08-06-2015,cream cheese 
3028,09-06-2015,long life bakery product
2851,16-03-2015,other vegetables
4417,25-02-2015,canned beer
3822,07-03-2015,bottled water
2288,31-05-2015,sausage
2184,30-06-2015,pork
1345,21-07-2015,grapes
4441,09-11-2015,bottled beer
2540,16-02-2015,instant coffee
1997,06-06-2015,berries
2294,26-07-2015,citrus fruit
1523,28-03-2015,beef
3165,18-08-2015,yogurt
4831,12-04-2015,frozen meals
4073,02-11-2015,tropical fruit
3661,25-07-2015,citrus fruit
2019,09-10-2015,salty snack
1092,16-05-2015,soda
4078,14-11-2015,beef
4753,21-06-2015,citrus fruit
1279,10-09-2015,sausage
1012,19-11-2015,root vegetables
2362,23-11-2015,frankfurter
2789,06-02-2015,curd
3229,07-08-2015,curd
1715,03-05-2015,whole milk
4351,16-01-2015,whole milk
4397,27-06-2015,onions
3653,21-10-2015,whole milk
2730,10-11-2015,root vegetables
4321,27-10-2015,pip fruit
1086,17-11-2015,beef
1708,28-12-2015,citrus fruit
4293,24-08-2015,sausage
4524,22-04-2015,ice cream
3783,08-03-2015,ice cream
1460,24-06-2015,tropical fruit
2960,19-12-2015,tropical fruit
3442,12-10-2015,sparkling wine
4059,07-05-2015,sausage
1822,03-03-2015,tropical fruit
1584,10-07-2015,long life bakery product
1624,04-02-2015,whole milk
4877,06-11-2015,ham
1567,11-04-2015,frankfurter
2018,04-01-2015,rolls/buns
1182,01-09-2015,hamburger meat
3401,02-08-2015,condensed milk
4547,18-01-2015,whole milk
3547,21-10-2015,bottled beer
4831,06-04-2015,sausage
2851,01-01-2015,white bread
3072,28-02-2015,other vegetables
1398,15-04-2015,sausage
1779,28-10-2015,beef
1823,27-11-2015,berries
3360,14-11-2015,beef
1565,15-10-2015,whole milk
4321,08-05-2015,frankfurter
1293,05-03-2015,tropical fruit
3331,25-07-2015,whole milk
2408,19-05-2015,citrus fruit
2742,10-10-2015,dessert
3934,01-05-2015,whole milk
4742,22-06-2015,pastry
4405,22-07-2015,curd cheese
3229,25-03-2015,other vegetables
2817,22-12-2015,male cosmetics
2741,17-02-2015,other vegetables
3562,30-12-2015,finished products
4442,10-06-2015,other vegetables
2022,05-02-2015,fruit/vegetable juice
4380,03-11-2015,berries
3687,22-12-2015,other vegetables
2077,07-05-2015,roll products 
3273,15-03-2015,sausage
3736,27-11-2015,beef
3190,28-03-2015,tropical fruit
3295,28-07-2015,sausage
3276,30-06-2015,specialty chocolate
4405,06-01-2015,bottled water
4266,31-07-2015,sausage
1372,25-06-2015,whole milk
1242,13-12-2015,beverages
4820,01-05-2015,pastry
4702,08-11-2015,grapes
3687,16-07-2015,citrus fruit
4115,20-03-2015,citrus fruit
2236,03-02-2015,meat
1026,15-03-2015,salty snack
2678,20-03-2015,finished products
1934,04-08-2015,bottled beer
3525,14-02-2015,citrus fruit
1354,29-11-2015,ice cream
2782,09-04-2015,tropical fruit
4456,16-05-2015,margarine
4869,03-04-2015,soda
2454,26-08-2015,sausage
4222,20-08-2015,beverages
1358,11-09-2015,whipped/sour cream
3393,15-02-2015,tropical fruit
1615,03-12-2015,herbs
4734,12-07-2015,whole milk
4946,04-11-2015,yogurt
2419,22-08-2015,hamburger meat
4989,03-06-2015,pip fruit
2961,27-05-2015,frozen potato products
2707,07-03-2015,whole milk
2010,06-11-2015,whole milk
1502,16-04-2015,sausage
2600,29-04-2015,female sanitary products
3603,30-01-2015,beef
4352,14-04-2015,sausage
1477,16-05-2015,sausage
4938,24-11-2015,tropical fruit
2745,27-01-2015,frankfurter
2738,09-11-2015,beef
4170,19-01-2015,curd
3776,17-05-2015,bottled water
1062,18-09-2015,yogurt
1546,03-01-2015,root vegetables
2020,19-11-2015,sliced cheese
2366,18-01-2015,pip fruit
1107,03-01-2015,chicken
1407,29-07-2015,ham
3718,26-02-2015,specialty chocolate
4808,26-07-2015,fish
2940,21-05-2015,detergent
3048,10-12-2015,rolls/buns
3165,15-06-2015,sausage
4306,28-12-2015,coffee
4302,05-11-2015,frankfurter
4516,29-03-2015,sausage
3582,31-03-2015,whole milk
1534,10-07-2015,dessert
1844,24-07-2015,pip fruit
1218,05-07-2015,sausage
4482,30-11-2015,whole milk
2574,11-12-2015,salty snack
2767,27-01-2015,sausage
2794,29-09-2015,bottled beer
4228,26-03-2015,sweet spreads
3062,08-06-2015,pip fruit
2365,21-06-2015,pork
3775,07-07-2015,beverages
2232,06-05-2015,whole milk
4156,03-08-2015,tropical fruit
3643,20-09-2015,frankfurter
3470,04-10-2015,sweet spreads
2602,11-12-2015,soups
4796,10-06-2015,soda
3289,09-08-2015,root vegetables
4470,31-03-2015,whole milk
2502,07-02-2015,citrus fruit
2205,07-03-2015,whole milk
3201,21-01-2015,soda
2882,25-06-2015,sausage
2757,16-12-2015,whipped/sour cream
3679,30-08-2015,frankfurter
2380,12-02-2015,other vegetables
1825,06-10-2015,bottled beer
2868,18-07-2015,pip fruit
2709,20-08-2015,citrus fruit
4585,16-07-2015,whipped/sour cream
2634,22-04-2015,whipped/sour cream
4832,03-12-2015,other vegetables
2032,28-07-2015,tropical fruit
2061,27-12-2015,tropical fruit
2210,13-01-2015,specialty bar
2346,05-08-2015,meat
4315,26-04-2015,soda
4166,26-07-2015,yogurt
3907,25-10-2015,frankfurter
2706,22-03-2015,ham
2855,05-08-2015,organic products
2074,10-04-2015,canned beer
2840,27-05-2015,frozen meals
2247,31-05-2015,other vegetables
4063,14-07-2015,sausage
4780,03-07-2015,sausage
1081,06-03-2015,frankfurter
4843,02-03-2015,male cosmetics
3246,27-08-2015,frozen meals
4009,14-07-2015,whole milk
3697,03-10-2015,UHT-milk
4579,29-10-2015,misc. beverages
3803,06-10-2015,fruit/vegetable juice
4108,21-07-2015,root vegetables
1664,01-04-2015,frankfurter
4179,06-03-2015,grapes
4172,18-02-2015,grapes
2851,17-02-2015,bottled beer
3385,22-06-2015,rolls/buns
1303,08-09-2015,rolls/buns
4487,22-01-2015,curd
2392,23-03-2015,sausage
4218,03-10-2015,frankfurter
2891,02-07-2015,liver loaf
4474,10-12-2015,canned beer
4437,28-07-2015,soft cheese
2648,08-11-2015,pork
1081,03-05-2015,tropical fruit
3071,21-01-2015,pip fruit
3409,20-05-2015,citrus fruit
2768,01-01-2015,meat
3424,16-08-2015,shopping bags
4610,19-04-2015,hamburger meat
3090,04-11-2015,root vegetables
4585,01-05-2015,beef
4388,20-03-2015,canned beer
3751,01-01-2015,whipped/sour cream
2650,11-05-2015,tropical fruit
2448,08-06-2015,tropical fruit
2652,26-12-2015,pastry
1385,19-11-2015,turkey
2960,31-08-2015,tropical fruit
2736,02-03-2015,sugar
1768,21-04-2015,finished products
2002,20-10-2015,meat
3046,18-11-2015,hamburger meat
2284,18-03-2015,pork
1708,18-09-2015,whole milk
1952,23-11-2015,pork
3497,08-09-2015,UHT-milk
1479,14-05-2015,other vegetables
1237,09-04-2015,whole milk
4353,24-08-2015,chicken
3528,18-08-2015,whole milk
2092,04-09-2015,pip fruit
2514,02-11-2015,rolls/buns
4790,16-05-2015,root vegetables
1948,25-08-2015,frankfurter
3581,16-01-2015,whole milk
4778,26-03-2015,frankfurter
2601,26-03-2015,root vegetables
4678,31-03-2015,pip fruit
3642,24-02-2015,sausage
2957,19-09-2015,UHT-milk
4585,28-09-2015,pork
3637,10-07-2015,citrus fruit
1353,09-02-2015,beef
3257,13-02-2015,whole milk
2524,10-09-2015,beef
2035,23-12-2015,sausage
3658,26-09-2015,bottled beer
1901,29-11-2015,rolls/buns
3247,13-01-2015,root vegetables
4308,24-01-2015,citrus fruit
1305,24-05-2015,tropical fruit
1011,09-12-2015,frankfurter
2234,29-07-2015,sausage
3744,08-12-2015,tropical fruit
2903,08-08-2015,frankfurter
3036,12-07-2015,sausage
2465,27-12-2015,tropical fruit
1233,20-03-2015,whipped/sour cream
1366,29-05-2015,beef
3741,06-08-2015,ham
2230,28-05-2015,tropical fruit
1206,15-05-2015,sausage
3690,24-04-2015,frankfurter
3620,18-06-2015,sausage
4759,20-02-2015,frankfurter
3543,11-10-2015,beef
2792,29-07-2015,frankfurter
1929,10-07-2015,bottled water
2433,23-08-2015,beverages
4941,15-01-2015,canned beer
3547,07-10-2015,pastry
1290,24-04-2015,frankfurter
4207,28-08-2015,other vegetables
2107,01-03-2015,frankfurter
3050,11-03-2015,pork
3814,21-07-2015,canned beer
4875,13-09-2015,grapes
3691,08-08-2015,bottled water
2433,14-03-2015,beef
4757,09-01-2015,herbs
1407,29-04-2015,frankfurter
4718,12-06-2015,sausage
1240,14-04-2015,sausage
1792,15-08-2015,newspapers
4486,09-11-2015,ham
1757,15-06-2015,finished products
2186,01-07-2015,citrus fruit
3752,15-04-2015,berries
3051,29-11-2015,other vegetables
3688,23-10-2015,soda
4676,15-01-2015,sausage
2142,25-06-2015,liver loaf
4939,29-06-2015,soda
1806,06-07-2015,beverages
1595,05-10-2015,hamburger meat
2086,09-03-2015,chicken
4251,03-10-2015,tropical fruit
2689,30-04-2015,nuts/prunes
2560,26-11-2015,pork
2393,17-04-2015,grapes
1669,19-08-2015,sausage
3500,21-04-2015,soda
1213,03-03-2015,beef
4598,18-11-2015,whole milk
1404,03-05-2015,oil
1758,26-02-2015,other vegetables
1265,07-03-2015,pip fruit
1006,14-06-2015,frankfurter
2779,17-10-2015,whole milk
4457,03-09-2015,rolls/buns
2532,06-07-2015,hamburger meat
2811,23-02-2015,chicken
4004,10-05-2015,sausage
1737,09-05-2015,hamburger meat
3266,25-10-2015,sausage
4981,10-01-2015,margarine
1934,06-08-2015,grapes
2512,19-01-2015,canned beer
3400,04-03-2015,bottled beer
4301,01-05-2015,hamburger meat
2997,30-12-2015,shopping bags
1098,05-08-2015,citrus fruit
2208,30-07-2015,root vegetables
3672,28-05-2015,berries
3651,24-01-2015,whole milk
3957,15-05-2015,frankfurter
2986,11-01-2015,other vegetables
4433,25-05-2015,cream cheese 
3822,27-05-2015,citrus fruit
4588,30-04-2015,tropical fruit
2622,17-07-2015,other vegetables
2117,02-05-2015,brown bread
1780,12-07-2015,specialty bar
3819,12-04-2015,processed cheese
1884,11-12-2015,chicken
2595,23-01-2015,sausage
3046,31-03-2015,sausage
3228,26-01-2015,chicken
2251,23-06-2015,cream cheese 
2368,11-11-2015,other vegetables
2573,03-01-2015,pastry
4701,30-04-2015,soda
4384,25-05-2015,citrus fruit
1998,18-05-2015,whole milk
4583,23-02-2015,curd
2043,21-04-2015,other vegetables
2201,22-05-2015,sausage
3522,23-09-2015,beef
3922,28-08-2015,yogurt
2636,11-09-2015,finished products
1092,27-07-2015,grapes
2711,13-09-2015,frozen vegetables
3899,22-04-2015,sausage
4372,30-07-2015,pork
4576,05-08-2015,UHT-milk
4953,10-10-2015,mayonnaise
4692,27-10-2015,tropical fruit
1170,12-11-2015,turkey
2625,08-04-2015,sausage
2394,30-08-2015,rolls/buns
4277,18-02-2015,soda
3170,17-01-2015,roll products 
2229,25-10-2015,soda
2944,01-02-2015,sausage
2582,06-03-2015,other vegetables
1373,10-05-2015,sausage
1366,25-10-2015,other vegetables
3469,10-05-2015,yogurt
4012,16-05-2015,meat
2031,26-02-2015,frankfurter
2459,16-09-2015,other vegetables
4377,23-02-2015,berries
1534,13-08-2015,rolls/buns
2051,23-07-2015,beverages
3430,26-01-2015,flour
1567,13-03-2015,frankfurter
2972,21-05-2015,UHT-milk
1287,28-08-2015,citrus fruit
4776,08-08-2015,other vegetables
2271,04-08-2015,whole milk
4657,15-08-2015,bottled beer
2344,14-04-2015,onions
1482,06-07-2015,whole milk
1278,09-12-2015,cookware
4831,13-11-2015,beef
1819,11-11-2015,chicken
2687,31-07-2015,sausage
4468,24-03-2015,baking powder
4760,02-04-2015,rolls/buns
2310,24-03-2015,long life bakery product
3924,07-02-2015,cookware
3517,11-12-2015,pip fruit
3164,30-09-2015,citrus fruit
3245,17-05-2015,hamburger meat
2629,06-12-2015,chicken
1347,15-09-2015,beef
1216,25-08-2015,soda
4636,10-04-2015,ham
1197,22-11-2015,citrus fruit
1100,12-03-2015,hygiene articles
2054,15-12-2015,citrus fruit
3761,26-09-2015,bottled beer
4947,14-09-2015,photo/film
1032,15-06-2015,soda
3353,14-08-2015,sausage
4466,20-08-2015,whole milk
2081,22-01-2015,citrus fruit
2162,19-06-2015,cat food
3719,17-12-2015,rolls/buns
3153,28-04-2015,cake bar
4462,02-04-2015,yogurt
2420,27-09-2015,frankfurter
3971,17-06-2015,sausage
1611,26-02-2015,frozen meals
1225,26-02-2015,whole milk
1554,21-05-2015,sausage
4624,27-11-2015,pork
3337,10-06-2015,root vegetables
2265,25-09-2015,waffles
4999,24-01-2015,berries
4102,03-11-2015,hamburger meat
3853,04-07-2015,waffles
2265,13-06-2015,chicken
2452,11-08-2015,chicken
2829,19-12-2015,frankfurter
3926,20-08-2015,cooking chocolate
3960,21-10-2015,pork
3980,16-09-2015,root vegetables
1116,29-01-2015,cream cheese 
2663,21-10-2015,chocolate
2164,24-11-2015,brown bread
3950,12-05-2015,chicken
1252,13-04-2015,turkey
4804,27-12-2015,other vegetables
4041,07-09-2015,grapes
1894,04-08-2015,frozen potato products
4977,20-08-2015,dog food
2171,03-09-2015,hamburger meat
3417,15-12-2015,tropical fruit
1175,10-06-2015,citrus fruit
4946,17-02-2015,sausage
4662,27-06-2015,pip fruit
2869,10-12-2015,tropical fruit
4053,22-03-2015,frankfurter
4574,30-11-2015,sausage
1110,15-11-2015,baking powder
4700,04-03-2015,bottled water
2565,29-04-2015,root vegetables
2468,13-03-2015,bottled beer
4836,13-11-2015,zwieback
3504,22-09-2015,root vegetables
1333,03-04-2015,sausage
4039,27-12-2015,condensed milk
2077,15-05-2015,citrus fruit
3519,13-12-2015,other vegetables
2989,30-01-2015,pet care
3737,05-05-2015,yogurt
3558,19-09-2015,pip fruit
3036,13-07-2015,whole milk
3180,03-07-2015,other vegetables
2978,09-05-2015,meat
3985,23-10-2015,whole milk
4903,08-12-2015,rolls/buns
2835,09-10-2015,ham
3783,22-06-2015,honey
1486,14-12-2015,chicken
4589,08-10-2015,white wine
1132,19-02-2015,semi-finished bread
4827,27-11-2015,frankfurter
3361,28-06-2015,other vegetables
4681,11-09-2015,whole milk
4197,26-10-2015,sausage
3701,22-01-2015,tropical fruit
4195,01-10-2015,other vegetables
3429,01-04-2015,soda
2430,20-01-2015,specialty bar
4330,08-04-2015,pork
1783,18-03-2015,butter
4025,04-11-2015,yogurt
3399,19-07-2015,tropical fruit
4766,03-01-2015,bottled beer
3562,13-08-2015,sausage
2447,21-01-2015,grapes
1396,22-07-2015,pork
4633,26-04-2015,citrus fruit
4695,05-01-2015,yogurt
1706,14-08-2015,brandy
3872,23-11-2015,turkey
1444,14-10-2015,whole milk
4753,08-11-2015,finished products
4580,29-11-2015,onions
2516,03-04-2015,yogurt
2415,08-08-2015,curd
3925,25-03-2015,beef
4996,24-11-2015,misc. beverages
4569,27-07-2015,sausage
3509,11-04-2015,citrus fruit
2252,08-10-2015,chicken
1634,09-02-2015,other vegetables
4112,27-04-2015,ice cream
4042,08-08-2015,sausage
4473,26-06-2015,tropical fruit
3878,30-04-2015,pip fruit
2266,30-09-2015,grapes
3304,30-11-2015,berries
3757,04-02-2015,bottled water
3440,21-12-2015,pork
4328,04-02-2015,pork
3737,06-12-2015,sausage
3948,15-06-2015,rolls/buns
3682,05-03-2015,whole milk
2827,31-10-2015,beef
2650,05-10-2015,beef
1360,16-12-2015,ham
3679,23-12-2015,other vegetables
4137,07-03-2015,hamburger meat
4235,19-12-2015,berries
3193,31-01-2015,sausage
1332,02-12-2015,citrus fruit
4821,28-11-2015,whole milk
1837,09-07-2015,citrus fruit
3665,23-09-2015,bottled water
2659,08-05-2015,sausage
1322,09-01-2015,meat
1599,29-05-2015,tropical fruit
2933,06-04-2015,pip fruit
3963,21-02-2015,other vegetables
4178,03-06-2015,berries
1052,27-10-2015,other vegetables
4693,18-08-2015,frankfurter
1329,02-02-2015,sausage
3128,13-06-2015,meat
1175,30-06-2015,yogurt
2211,31-03-2015,canned beer
2093,12-06-2015,whole milk
4284,14-10-2015,sausage
4449,30-03-2015,frankfurter
4269,01-04-2015,frankfurter
1962,05-04-2015,sausage
2250,04-10-2015,citrus fruit
1743,13-11-2015,frozen meals
1583,28-07-2015,sausage
4295,26-10-2015,whole milk
1183,29-06-2015,ham
2729,21-03-2015,cling film/bags
4035,03-08-2015,chicken
1608,06-08-2015,red/blush wine
1793,03-07-2015,chicken
2210,09-07-2015,hamburger meat
1885,03-07-2015,bottled water
1078,28-10-2015,curd
1016,30-09-2015,frankfurter
3077,29-05-2015,turkey
3551,01-05-2015,tropical fruit
1158,17-10-2015,other vegetables
2443,20-06-2015,pip fruit
1395,15-01-2015,meat
2454,10-11-2015,sausage
3472,30-04-2015,mayonnaise
3547,28-11-2015,soda
1038,21-02-2015,pork
3915,11-09-2015,rolls/buns
2719,19-04-2015,soda
2234,23-12-2015,whole milk
1565,14-12-2015,berries
1328,24-03-2015,ham
3398,18-01-2015,rolls/buns
3687,12-02-2015,rolls/buns
2448,08-06-2015,onions
2652,26-12-2015,whole milk
1385,19-11-2015,yogurt
2960,31-08-2015,rolls/buns
2736,02-03-2015,whole milk
1768,21-04-2015,rolls/buns
2002,20-10-2015,rolls/buns
3046,18-11-2015,pip fruit
2284,18-03-2015,frankfurter
1708,18-09-2015,turkey
1952,23-11-2015,onions
3497,08-09-2015,beef
1479,14-05-2015,sausage
1237,09-04-2015,other vegetables
4353,24-08-2015,chicken
3528,18-08-2015,sausage
2092,04-09-2015,tropical fruit
2514,02-11-2015,tropical fruit
4790,16-05-2015,pip fruit
1948,25-08-2015,yogurt
3581,16-01-2015,tropical fruit
4778,26-03-2015,soda
2601,26-03-2015,rolls/buns
4678,31-03-2015,condensed milk
3642,24-02-2015,domestic eggs
2957,19-09-2015,candles
4585,28-09-2015,butter milk
3637,10-07-2015,whole milk
1353,09-02-2015,beef
3257,13-02-2015,meat
2524,10-09-2015,citrus fruit
2035,23-12-2015,beef
3658,26-09-2015,UHT-milk
1901,29-11-2015,berries
3247,13-01-2015,rolls/buns
4308,24-01-2015,whole milk
1305,24-05-2015,pork
1011,09-12-2015,candles
2234,29-07-2015,pork
3744,08-12-2015,salt
2903,08-08-2015,citrus fruit
3036,12-07-2015,other vegetables
2465,27-12-2015,pastry
1233,20-03-2015,waffles
1366,29-05-2015,curd
3741,06-08-2015,whole milk
2230,28-05-2015,sausage
1206,15-05-2015,soda
3690,24-04-2015,ice cream
3620,18-06-2015,tropical fruit
4759,20-02-2015,ham
3543,11-10-2015,meat
2792,29-07-2015,berries
1929,10-07-2015,other vegetables
2433,23-08-2015,beef
4941,15-01-2015,bottled beer
3547,07-10-2015,butter
1290,24-04-2015,whole milk
4207,28-08-2015,citrus fruit
2107,01-03-2015,frankfurter
3050,11-03-2015,sausage
3814,21-07-2015,hygiene articles
4875,13-09-2015,frankfurter
3691,08-08-2015,shopping bags
2433,14-03-2015,beef
4757,09-01-2015,canned beer
1407,29-04-2015,frankfurter
4718,12-06-2015,frankfurter
1240,14-04-2015,whole milk
1792,15-08-2015,beef
4486,09-11-2015,canned beer
1757,15-06-2015,canned beer
2186,01-07-2015,whole milk
3752,15-04-2015,whole milk
3051,29-11-2015,ham
3688,23-10-2015,brandy
4676,15-01-2015,frankfurter
2142,25-06-2015,root vegetables
4939,29-06-2015,hygiene articles
1806,06-07-2015,hamburger meat
1595,05-10-2015,sausage
2086,09-03-2015,meat
4251,03-10-2015,tropical fruit
2689,30-04-2015,root vegetables
2560,26-11-2015,pip fruit
2393,17-04-2015,yogurt
1669,19-08-2015,root vegetables
3500,21-04-2015,canned beer
1213,03-03-2015,pork
4598,18-11-2015,root vegetables
1404,03-05-2015,sausage
1758,26-02-2015,chocolate
1265,07-03-2015,citrus fruit
1006,14-06-2015,chicken
2779,17-10-2015,whole milk
4457,03-09-2015,packaged fruit/vegetables
2532,06-07-2015,whole milk
2811,23-02-2015,beef
4004,10-05-2015,ham
1737,09-05-2015,newspapers
3266,25-10-2015,frankfurter
4981,10-01-2015,whole milk
1934,06-08-2015,sausage
